trs_to_target, target_angle, impulse_response, visible_bool, noise_std
4, 135.000000, impulse, 1, 0.100000
5, 45.000000, impulse, 1, 0.100000
4, 90.000000, impulse, 1, 0.100000
32, 22.500000, impulse, 0, 0.100000
33, 90.000000, impulse, 0, 0.100000
13, 135.000000, impulse, 0, 0.100000
17, 45.000000, impulse, 0, 0.100000
9, 112.500000, impulse, 0, 0.100000
5, 157.500000, impulse, 0, 0.100000
8, 67.500000, impulse, 0, 0.100000
4, 22.500000, impulse, 0, 0.100000
15, 157.500000, impulse, 0, 0.100000
5, 90.000000, impulse, 0, 0.100000
17, 112.500000, impulse, 0, 0.100000
15, 67.500000, impulse, 0, 0.100000
10, 45.000000, impulse, 0, 0.100000
4, 135.000000, impulse, 0, 0.100000
5, 45.000000, blur, 1, 0.100000
6, 135.000000, blur, 1, 0.100000
7, 90.000000, blur, 1, 0.100000
22, 90.000000, blur, 0, 0.100000
17, 112.500000, blur, 0, 0.100000
58, 45.000000, blur, 0, 0.100000
8, 157.500000, blur, 0, 0.100000
17, 67.500000, blur, 0, 0.100000
23, 135.000000, blur, 0, 0.100000
7, 22.500000, blur, 0, 0.100000
15, 90.000000, blur, 0, 0.100000
30, 22.500000, blur, 0, 0.100000
24, 45.000000, blur, 0, 0.100000
10, 135.000000, blur, 0, 0.100000
25, 112.500000, blur, 0, 0.100000
10, 67.500000, blur, 0, 0.100000
3, 157.500000, blur, 0, 0.100000
8, 135.000000, delay, 1, 0.100000
8, 90.000000, delay, 1, 0.100000
7, 45.000000, delay, 1, 0.100000
122, 90.000000, delay, 0, 0.100000
21, 22.500000, delay, 0, 0.100000
7, 157.500000, delay, 0, 0.100000
63, 67.500000, delay, 0, 0.100000
47, 135.000000, delay, 0, 0.100000
13, 45.000000, delay, 0, 0.100000
15, 112.500000, delay, 0, 0.100000
30, 157.500000, delay, 0, 0.100000
34, 22.500000, delay, 0, 0.100000
39, 90.000000, delay, 0, 0.100000
11, 135.000000, delay, 0, 0.100000
12, 112.500000, delay, 0, 0.100000
49, 45.000000, delay, 0, 0.100000
57, 67.500000, delay, 0, 0.100000
7, 135.000000, hrf, 1, 0.100000
7, 45.000000, hrf, 1, 0.100000
6, 90.000000, hrf, 1, 0.100000
73, 45.000000, hrf, 0, 0.100000
124, 67.500000, hrf, 0, 0.100000
36, 157.500000, hrf, 0, 0.100000
47, 112.500000, hrf, 0, 0.100000
20, 90.000000, hrf, 0, 0.100000
35, 135.000000, hrf, 0, 0.100000
101, 22.500000, hrf, 0, 0.100000
12, 135.000000, hrf, 0, 0.100000
39, 67.500000, hrf, 0, 0.100000
11, 90.000000, hrf, 0, 0.100000
51, 22.500000, hrf, 0, 0.100000
21, 112.500000, hrf, 0, 0.100000
16, 157.500000, hrf, 0, 0.100000
55, 45.000000, hrf, 0, 0.100000
