trials_to_target, target_angle, feedback_timing, visible_bool, noise_std
2, 112.500000, 1x, 1, 0.100000
3, 22.500000, 2x, 1, 0.100000
1, 90.000000, 6x, 1, 0.100000
8, 135.000000, 2x, 0, 0.100000
3, 45.000000, 1x, 0, 0.100000
7, 67.500000, 6x, 0, 0.100000
7, 112.500000, 2x, 0, 0.100000
5, 22.500000, 1x, 0, 0.100000
6, 45.000000, 6x, 0, 0.100000
8, 157.500000, 6x, 0, 0.100000
7, 67.500000, 2x, 0, 0.100000
1, 135.000000, 1x, 0, 0.100000
7, 90.000000, 2x, 0, 0.100000
7, 157.500000, 1x, 0, 0.100000
5, 22.500000, 6x, 0, 0.100000
3, 135.000000, 6x, 0, 0.100000
3, 90.000000, 1x, 0, 0.100000
1, 45.000000, 2x, 0, 0.100000
7, 157.500000, 2x, 0, 0.100000
4, 112.500000, 6x, 0, 0.100000
2, 67.500000, 1x, 0, 0.100000
3, 157.500000, 6x, 0, 0.100000
4, 22.500000, 1x, 0, 0.100000
4, 22.500000, 2x, 0, 0.100000
3, 112.500000, 6x, 0, 0.100000
2, 67.500000, 2x, 0, 0.100000
3, 157.500000, 1x, 0, 0.100000
3, 90.000000, 6x, 0, 0.100000
1, 135.000000, 2x, 0, 0.100000
1, 45.000000, 1x, 0, 0.100000
3, 67.500000, 1x, 0, 0.100000
5, 67.500000, 6x, 0, 0.100000
6, 157.500000, 2x, 0, 0.100000
3, 22.500000, 6x, 0, 0.100000
2, 112.500000, 2x, 0, 0.100000
1, 135.000000, 1x, 0, 0.100000
2, 112.500000, 1x, 0, 0.100000
2, 135.000000, 6x, 0, 0.100000
3, 90.000000, 2x, 0, 0.100000
3, 45.000000, 6x, 0, 0.100000
3, 45.000000, 2x, 0, 0.100000
3, 90.000000, 1x, 0, 0.100000
