target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std
1, 1, 46.064451, 45.000000, 0.970602, 6x, 1, 0.100000
2, 1, -67.057941, 112.500000, 0.957617, 2x, 1, 0.100000
3, 1, -92.040656, 90.000000, 0.947533, 1x, 1, 0.100000
4, 1, -61.318021, 67.500000, 0.237767, 1x, 0, 0.100000
4, 2, -77.272904, 67.500000, 0.371826, 1x, 0, 0.100000
4, 3, -203.380241, 67.500000, 0.066955, 1x, 0, 0.100000
4, 4, -245.374464, 67.500000, 0.249334, 1x, 0, 0.100000
4, 5, -181.360306, 67.500000, 0.128951, 1x, 0, 0.100000
4, 6, -272.268528, 67.500000, 0.513968, 1x, 0, 0.100000
4, 7, -255.254780, 67.500000, 0.326880, 1x, 0, 0.100000
4, 8, -201.256284, 67.500000, 0.065549, 1x, 0, 0.100000
4, 9, -262.288950, 67.500000, 0.468019, 1x, 0, 0.100000
4, 10, -234.285909, 67.500000, 0.179608, 1x, 0, 0.100000
4, 11, -316.303932, 67.500000, 0.500927, 1x, 0, 0.100000
4, 12, -334.267360, 67.500000, 0.268151, 1x, 0, 0.100000
4, 13, -311.162370, 67.500000, 0.524768, 1x, 0, 0.100000
4, 14, -293.270460, 67.500000, 0.961011, 1x, 0, 0.100000
5, 1, 0.000000, 90.000000, 0.071931, 2x, 0, 0.100000
5, 2, 99.138977, 90.000000, 0.900989, 2x, 0, 0.100000
6, 1, 0.000000, 90.000000, 0.066646, 6x, 0, 0.100000
6, 2, -64.898814, 90.000000, 0.485107, 6x, 0, 0.100000
6, 3, -49.831452, 90.000000, 0.265419, 6x, 0, 0.100000
6, 4, -101.815404, 90.000000, 0.812661, 6x, 0, 0.100000
6, 5, -106.771073, 90.000000, 0.546235, 6x, 0, 0.100000
6, 6, -89.805386, 90.000000, 0.985836, 6x, 0, 0.100000
7, 1, 0.000000, 157.500000, 0.514652, 2x, 0, 0.100000
7, 2, -19.092060, 157.500000, 0.932819, 2x, 0, 0.100000
8, 1, -81.093510, 22.500000, 0.120970, 1x, 0, 0.100000
8, 2, -165.327654, 22.500000, 0.826031, 1x, 0, 0.100000
8, 3, -170.277395, 22.500000, 0.666261, 1x, 0, 0.100000
8, 4, -149.855075, 22.500000, 0.809734, 1x, 0, 0.100000
8, 5, -141.832791, 22.500000, 0.603373, 1x, 0, 0.100000
8, 6, -147.807232, 22.500000, 0.778970, 1x, 0, 0.100000
8, 7, -152.623359, 22.500000, 0.919684, 1x, 0, 0.100000
9, 1, 0.000000, 67.500000, 0.129467, 6x, 0, 0.100000
9, 2, -51.047568, 67.500000, 0.159897, 6x, 0, 0.100000
9, 3, -141.193844, 67.500000, 0.476893, 6x, 0, 0.100000
9, 4, -157.183820, 67.500000, 0.258115, 6x, 0, 0.100000
9, 5, -126.229542, 67.500000, 0.540182, 6x, 0, 0.100000
9, 6, -115.369924, 67.500000, 0.919842, 6x, 0, 0.100000
10, 1, 0.000000, 135.000000, 0.258200, 2x, 0, 0.100000
10, 2, -33.930713, 135.000000, 0.718675, 2x, 0, 0.100000
10, 3, -42.986329, 135.000000, 0.963844, 2x, 0, 0.100000
11, 1, 0.000000, 112.500000, 0.128962, 6x, 0, 0.100000
11, 2, -66.148672, 112.500000, 0.949614, 6x, 0, 0.100000
12, 1, 0.000000, 135.000000, 0.252315, 1x, 0, 0.100000
12, 2, -27.155526, 135.000000, 0.534847, 1x, 0, 0.100000
