trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
2, 22.500000, 6x, 1, 0.100000, blur
1, 45.000000, 6x, 1, 0.100000, hrf
1, 90.000000, 6x, 1, 0.100000, delay
13, 67.500000, 6x, 0, 0.100000, delay
6, 22.500000, 6x, 0, 0.100000, hrf
15, 67.500000, 6x, 0, 0.100000, blur
6, 22.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, blur
7, 135.000000, 6x, 0, 0.100000, hrf
4, 45.000000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, hrf
2, 45.000000, 6x, 0, 0.100000, delay
2, 157.500000, 6x, 0, 0.100000, delay
4, 135.000000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, hrf
3, 90.000000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, hrf
4, 112.500000, 6x, 0, 0.100000, delay
12, 157.500000, 6x, 0, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, hrf
8, 135.000000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, delay
4, 112.500000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, delay
3, 112.500000, 6x, 0, 0.100000, hrf
7, 67.500000, 6x, 0, 0.100000, blur
10, 90.000000, 6x, 0, 0.100000, hrf
5, 157.500000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, delay
5, 22.500000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, hrf
4, 22.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, blur
4, 90.000000, 6x, 0, 0.100000, delay
5, 45.000000, 6x, 0, 0.100000, hrf
13, 45.000000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, hrf
5, 157.500000, 6x, 0, 0.100000, delay
12, 90.000000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, hrf
5, 67.500000, 6x, 0, 0.100000, delay
3, 90.000000, 6x, 0, 0.100000, delay
4, 45.000000, 6x, 0, 0.100000, hrf
7, 22.500000, 6x, 0, 0.100000, blur
7, 112.500000, 6x, 0, 0.100000, blur
5, 135.000000, 6x, 0, 0.100000, delay
4, 112.500000, 6x, 0, 0.100000, hrf
2, 157.500000, 6x, 0, 0.100000, delay
3, 22.500000, 6x, 0, 0.100000, hrf
4, 135.000000, 6x, 0, 0.100000, blur
4, 90.000000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, delay
5, 90.000000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, hrf
8, 112.500000, 6x, 0, 0.100000, delay
6, 67.500000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, hrf
10, 157.500000, 6x, 0, 0.100000, blur
8, 45.000000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, hrf
2, 22.500000, 6x, 0, 0.100000, delay
