target_num, trial_num, angle, target_angle, score, feedback_timing, visible_bool, noise_std, impulse_response
1, 1, 24.113304, 22.500000, 0.964264, 6x, 1, 0.100000, hrf
2, 1, -42.097910, 135.000000, 0.893401, 6x, 1, 0.100000, blur
3, 1, -23.079200, 157.500000, 0.991486, 6x, 1, 0.100000, delay
4, 1, 24.062626, 67.500000, 0.266016, 6x, 0, 0.100000, hrf
4, 2, 82.038738, 67.500000, 0.624918, 6x, 0, 0.100000, hrf
4, 3, 133.224221, 67.500000, 0.129572, 6x, 0, 0.100000, hrf
4, 4, 84.094638, 67.500000, 0.528430, 6x, 0, 0.100000, hrf
4, 5, 65.048802, 67.500000, 0.932238, 6x, 0, 0.100000, hrf
5, 1, 0.000000, 90.000000, 0.076393, 6x, 0, 0.100000, blur
5, 2, -38.005347, 90.000000, 0.228557, 6x, 0, 0.100000, blur
5, 3, -89.889529, 90.000000, 0.878222, 6x, 0, 0.100000, blur
6, 1, -89.065639, 22.500000, 0.125307, 6x, 0, 0.100000, delay
6, 2, 0.126909, 22.500000, 0.501623, 6x, 0, 0.100000, delay
6, 3, 16.235331, 22.500000, 0.908413, 6x, 0, 0.100000, delay
7, 1, -37.187058, 135.000000, 0.901781, 6x, 0, 0.100000, delay
8, 1, -138.074441, 157.500000, 0.142284, 6x, 0, 0.100000, hrf
8, 2, -213.201408, 157.500000, 0.669816, 6x, 0, 0.100000, hrf
8, 3, -238.216525, 157.500000, 0.331463, 6x, 0, 0.100000, hrf
8, 4, -212.239412, 157.500000, 0.843018, 6x, 0, 0.100000, hrf
8, 5, -204.242028, 157.500000, 0.961865, 6x, 0, 0.100000, hrf
9, 1, 38.027573, 22.500000, 0.550310, 6x, 0, 0.100000, blur
9, 2, 88.057520, 22.500000, 0.177263, 6x, 0, 0.100000, blur
9, 3, 8.904364, 22.500000, 0.593994, 6x, 0, 0.100000, blur
9, 4, -1.086542, 22.500000, 0.496691, 6x, 0, 0.100000, blur
9, 5, 6.978501, 22.500000, 0.568548, 6x, 0, 0.100000, blur
9, 6, 18.714191, 22.500000, 0.809115, 6x, 0, 0.100000, blur
9, 7, 24.670433, 22.500000, 0.896690, 6x, 0, 0.100000, blur
10, 1, 87.032236, 67.500000, 0.508745, 6x, 0, 0.100000, delay
10, 2, 110.956532, 67.500000, 0.252808, 6x, 0, 0.100000, delay
10, 3, 74.786787, 67.500000, 0.842579, 6x, 0, 0.100000, delay
10, 4, 66.882140, 67.500000, 0.985001, 6x, 0, 0.100000, delay
11, 1, 36.150066, 67.500000, 0.369904, 6x, 0, 0.100000, blur
11, 2, 68.083117, 67.500000, 0.780081, 6x, 0, 0.100000, blur
11, 3, 86.076186, 67.500000, 0.523571, 6x, 0, 0.100000, blur
11, 4, 77.997637, 67.500000, 0.612857, 6x, 0, 0.100000, blur
11, 5, 67.962312, 67.500000, 0.904791, 6x, 0, 0.100000, blur
12, 1, 0.000000, 135.000000, 0.258597, 6x, 0, 0.100000, hrf
12, 2, -42.104758, 135.000000, 0.919912, 6x, 0, 0.100000, hrf
13, 1, 0.000000, 157.500000, 0.507649, 6x, 0, 0.100000, blur
13, 2, -41.161832, 157.500000, 0.532044, 6x, 0, 0.100000, blur
